Designator,Mid X,Mid Y,Rotation,Layer
D1,92.86875,-90.4875,90.0,bottom
D10,111.91875,-128.5875,90.0,bottom
D11,130.96875,-128.5875,90.0,bottom
D12,150.01875,-128.5875,90.0,bottom
D2,111.91875,-90.4875,90.0,bottom
D3,130.96875,-90.4875,90.0,bottom
D4,150.01875,-90.4875,90.0,bottom
D5,92.86875,-109.5375,90.0,bottom
D6,111.91875,-109.5375,90.0,bottom
D7,130.96875,-109.5375,90.0,bottom
D8,150.01875,-109.5375,90.0,bottom
D9,92.85,-128.25,90.0,bottom
S1,83.185,-88.64,0.0,top
S10,102.235,-126.74,0.0,top
S11,121.285,-126.74,0.0,top
S12,140.335,-126.74,0.0,top
S2,102.235,-88.64,0.0,top
S3,121.285,-88.64,0.0,top
S4,140.335,-88.64,0.0,top
S5,83.185,-107.69,0.0,top
S6,102.235,-107.69,0.0,top
S7,121.285,-107.69,0.0,top
S8,140.335,-107.69,0.0,top
S9,83.185,-126.74,0.0,top
U1,139.85,-144.9675,270.0,bottom
