pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
86.64,-81.49,180.0,bottom,D1,,,Diode_DO-35,~,tht
111.66,-122.42,-90.0,bottom,D10,,,Diode_DO-35,~,tht
130.83,-122.03,-90.0,bottom,D11,,,Diode_DO-35,~,tht
149.61,-122.08,-90.0,bottom,D12,,,Diode_DO-35,~,tht
105.98,-81.7,180.0,bottom,D2,,,Diode_DO-35,~,tht
127.41,-81.72,180.0,bottom,D3,,,Diode_DO-35,~,tht
130.88,-92.73,90.0,top,D4,,,Diode_DO-35,~,tht
92.79,-102.53,-90.0,bottom,D5,,,Diode_DO-35,~,tht
111.88,-102.38,-90.0,bottom,D6,,,Diode_DO-35,~,tht
130.85,-102.33,-90.0,bottom,D7,,,Diode_DO-35,~,tht
149.59,-102.51,-90.0,bottom,D8,,,Diode_DO-35,~,tht
92.78,-122.47,-90.0,bottom,D9,,,Diode_DO-35,~,tht
140.7,-133.79,180.0,bottom,LED1,,,LED_SK6812MINI,LED_SK6812MINI,tht
121.44,-133.89,180.0,bottom,LED2,,,LED_SK6812MINI,LED_SK6812MINI,tht
102.28,-133.91,180.0,bottom,LED3,,,LED_SK6812MINI,LED_SK6812MINI,tht
83.23,-133.74,180.0,bottom,LED4,,,LED_SK6812MINI,LED_SK6812MINI,tht
83.45,-114.87,0.0,bottom,LED5,,,LED_SK6812MINI,LED_SK6812MINI,tht
102.53,-114.97,0.0,bottom,LED6,,,LED_SK6812MINI,LED_SK6812MINI,tht
121.53,-114.83,0.0,bottom,LED7,,,LED_SK6812MINI,LED_SK6812MINI,tht
141.33,-114.92,0.0,bottom,LED8,,,LED_SK6812MINI,LED_SK6812MINI,tht
82.95,-90.95,0.0,top,S1,,,Choc_V1V2_1.00u,~,tht
102.235,-128.905,0.0,top,S10,,,Choc_V1V2_1.00u,~,tht
121.285,-128.905,0.0,top,S11,,,Choc_V1V2_1.00u,~,tht
140.6,-128.74,0.0,top,S12,,,Choc_V1V2_1.00u,~,tht
102.235,-90.805,0.0,top,S2,,,Choc_V1V2_1.00u,~,tht
121.285,-90.805,0.0,top,S3,,,Choc_V1V2_1.00u,~,tht
141.61,-90.7,0.0,top,S4,,,Choc_V1V2_1.00u,~,tht
83.185,-109.855,0.0,top,S5,,,Choc_V1V2_1.00u,~,tht
102.235,-109.855,0.0,top,S6,,,Choc_V1V2_1.00u,~,tht
121.285,-109.855,0.0,top,S7,,,Choc_V1V2_1.00u,~,tht
140.335,-109.855,0.0,top,S8,,,Choc_V1V2_1.00u,~,tht
83.185,-128.905,0.0,top,S9,,,Choc_V1V2_1.00u,~,tht
142.0625,-89.22,0.0,bottom,U1,,,Seeed_XIAO_RP2040,MCU_Seeed_XIAO_RP2040,tht
